state,median_household_income,share_unemployed_seasonal,share_population_in_metro_areas,share_population_with_high_school_degree,share_non_citizen,share_white_poverty,gini_index,share_non_white,share_voters_voted_trump,hate_crimes_per_100k_splc,avg_hatecrimes_per_100k_fbi,income_rank,unemployed_rank,metro_rank,degree_rank,noncitizen_rank,poverty_rank,gini_rank,nonwhite_rank,vote_rank,hate_splc_rank,hate_fbi_rank
Alabama,42278,0.06,0.64,0.821,0.02,0.12,0.47200000000000003,0.35,0.63,0.125838926,1.8064104890000001,49.0,42.5,36.5,47.0,43.5,45.0,45.0,21.5,46.5,9.0,20.0
Alaska,67629,0.064,0.63,0.914,0.04,0.06,0.42200000000000004,0.42,0.53,0.143740118,1.656700109,6.0,47.0,38.5,3.5,28.5,4.5,2.0,14.0,32.5,13.0,17.0
Arizona,49254,0.063,0.9,0.8420000000000001,0.1,0.09,0.455,0.49,0.5,0.225319954,3.413927994,38.0,46.0,12.0,38.0,6.0,26.0,27.5,8.0,27.0,23.0,42.0
Arkansas,44922,0.052000000000000005,0.69,0.8240000000000001,0.04,0.12,0.45799999999999996,0.26,0.6,0.06906077299999999,0.8692088720000001,45.0,29.5,34.0,45.0,28.5,45.0,30.0,29.5,42.5,2.0,8.0
California,60487,0.059000000000000004,0.97,0.8059999999999999,0.13,0.09,0.47100000000000003,0.61,0.33,0.255805361,2.397985899,15.0,41.0,5.0,49.0,1.0,26.0,44.0,4.0,3.5,27.0,31.0
Colorado,60940,0.04,0.8,0.893,0.06,0.07,0.457,0.31,0.44,0.390523301,2.804688765,12.0,10.5,24.0,17.0,18.5,10.0,29.0,23.5,16.0,38.0,34.0
Connecticut,70161,0.052000000000000005,0.94,0.8859999999999999,0.06,0.06,0.486,0.3,0.41,0.33539226899999997,3.772701469,4.0,29.5,8.5,21.0,18.5,4.5,49.0,25.0,12.5,34.0,44.0
Delaware,57522,0.049,0.9,0.8740000000000001,0.05,0.08,0.44,0.37,0.42,0.322754169,1.469979563,21.0,23.0,12.0,26.5,22.5,17.0,14.0,18.5,14.5,30.0,16.0
District of Columbia,68277,0.067,1.0,0.871,0.11,0.04,0.532,0.63,0.04,1.52230172,10.95347971,5.0,48.5,2.0,28.0,3.0,1.0,51.0,2.0,1.0,47.0,50.0
Florida,46140,0.052000000000000005,0.96,0.853,0.09,0.11,0.474,0.46,0.49,0.18752122300000001,0.6980703420000001,43.0,29.5,7.0,34.0,8.5,41.0,46.0,10.0,25.5,17.0,6.0
